Codi;Nom;Import;"Venciments Impagats";"Primer venciment impagat";Gestor;"Data última gestió";"Última gestió"
284101;"UVL INFORMATICA                                                                                     ";247,28;4;31/05/2025;"Anna Maria Mateo    ";19/06/2025;"GESTIO DE COBRO"
286103;"NUTRIM, S.L.                                                                                        ";5,77;1;20/06/2025;"Anna Maria Mateo    ";27/11/2024;"gestio de cobro"
3955;"CCA                                                                                                 ";720,49;4;31/07/2025;"Anna Maria Mateo    ";18/09/2025;"gestio de cobro"
128386;"EXPOVECTOR, S.L.U                                                                                   ";34,38;1;31/05/2025;"Anna Maria Mateo    ";04/06/2025;PAGO
183729;"SHISEIDO SPAIN SA                                                                                   ";497,57;2;30/07/2025;;;
285591;"SERRALLERIA PARDO                                                                                   ";34,37;2;21/08/2025;"Anna Maria Mateo    ";21/08/2025;"gestio de cobro"
126744;"PORCELANOSA SA                                                                                      ";45,71;1;30/06/2025;;;
286366;"MARC MITJANA-PRISMA TOPOGRAFIA                                                                      ";35,04;1;30/06/2025;;;
287714;"UTE ANDORRA II ACCIONA AGUA ECOTECNIC                                                               ";145,42;1;30/07/2025;;;
3387;"PASSERA DISTRIBUCIO,S.L.                                                                            ";11,19;1;30/07/2025;"Anna Maria Mateo    ";20/11/2024;"GESTIO DE COBROS"
287462;"SERCOTEL ANDORRA, SL                                                                                ";112,41;1;15/07/2025;;;
280779;"MENJAR DE VERITAT,S.L.U. (VERITAS)                                                                  ";188,94;1;30/07/2025;;;
283919;"EL CEDRE DISTRIBUCIONS, SLU                                                                         ";7,90;3;10/08/2025;"Anna Maria Mateo    ";28/10/2024;"gestio de cobro"
284156;"MENTA FACILITY,S.L.                                                                                 ";82,74;2;15/08/2025;"Anna Maria Mateo    ";15/03/2023;"gestio de cobro"
280776;"NECTARVI   /   ELS AMICS DEL VI,S.L.                                                                ";13,53;1;30/07/2025;;;
283825;"ESPORTS LA CAPA-DRR24SL                                                                             ";365,86;2;18/10/2023;"Anna Maria Mateo    ";22/07/2024;"GESTIO DE COBRO"
3960;"FUNDACIO RESIDENCIA CLARA RABASSA                                                                   ";67,63;2;31/07/2025;"Joana Zamora        ";07/08/2025;"Retorn rebut"
